,pop_name,s,params,target_angle,recurrent,binsize
2,i5Sst,58.35458618946953,[0.72468437 9.51469832 0.30855904],210,w/o recurrent,10
0,e5ET,58.87334858085971,[0.52493601 9.34775958 0.5387833 ],210,w/ recurrent,10
1,i5Pvalb,46.636498201270655,[ 0.44204383 14.89680538  0.76402152],210,w/ recurrent,10
2,i5Sst,55.90403272369091,[ 0.8021178  10.36713455  0.2352965 ],210,w/ recurrent,10
0,e5ET,64.21830744100265,[0.60079176 7.85646717 0.41422443],225,w/o recurrent,10
1,i5Pvalb,59.45093375820491,[0.34531234 9.16700883 0.6713595 ],225,w/o recurrent,10
2,i5Sst,58.93436342674134,[0.85268465 9.32841409 0.37001607],225,w/o recurrent,10
0,e5ET,62.970179647959135,[0.46850573 8.17099878 0.47306164],225,w/ recurrent,10
1,i5Pvalb,49.724212765293835,[ 0.31968598 13.10415973  0.54282476],225,w/ recurrent,10
2,i5Sst,57.22147889095952,[0.99001841 9.8952519  0.28318417],225,w/ recurrent,10
0,e5ET,63.99291513014915,[0.60509766 7.91190787 0.41868212],240,w/o recurrent,10
1,i5Pvalb,57.19904191219302,[0.33519976 9.90301647 0.66630694],240,w/o recurrent,10
2,i5Sst,58.21688952392738,[0.68398507 9.55976056 0.30092335],240,w/o recurrent,10
0,e5ET,62.402801765623565,[0.50365754 8.32025874 0.50585753],240,w/ recurrent,10
1,i5Pvalb,41.419812787782334,[ 0.4394565  18.88551129  0.73656377],240,w/ recurrent,10
2,i5Sst,56.88078119789601,[ 0.76510407 10.01414569  0.21382336],240,w/ recurrent,10
0,e5ET,63.45563324623626,[0.57103981 8.04645608 0.39756474],255,w/o recurrent,10
1,i5Pvalb,55.649187016474116,[ 0.33691884 10.46230465  0.67424943],255,w/o recurrent,10
2,i5Sst,58.650648273401394,[0.62668848 9.41888245 0.27057206],255,w/o recurrent,10
0,e5ET,60.72523915848758,[0.46083865 8.78631041 0.47398975],255,w/ recurrent,10
1,i5Pvalb,45.52583175502102,[ 0.3950556  15.63252861  0.69567331],255,w/ recurrent,10
2,i5Sst,58.170625286762245,[0.71484502 9.57497273 0.19819769],255,w/ recurrent,10
0,e5ET,62.75905724394877,[0.56140759 8.22606597 0.39607762],270,w/o recurrent,10
1,i5Pvalb,55.56329321333841,[ 0.33423559 10.49467644  0.6760359 ],270,w/o recurrent,10
2,i5Sst,59.56617656086911,[0.67322763 9.13157228 0.28976018],270,w/o recurrent,10
0,e5ET,57.45724155529543,[0.47752344 9.81421269 0.5139518 ],270,w/ recurrent,10
1,i5Pvalb,43.55513517730749,[ 0.34446157 17.079151    0.62934334],270,w/ recurrent,10
2,i5Sst,58.57293144863015,[0.74801697 9.4438937  0.20105635],270,w/ recurrent,10
0,e5ET,62.16839295414693,[0.57638567 8.38312087 0.41330043],285,w/o recurrent,10
1,i5Pvalb,56.94214251077758,[0.31863244 9.99257467 0.65257013],285,w/o recurrent,10
2,i5Sst,60.736705206033534,[0.74226885 8.78299332 0.30033108],285,w/o recurrent,10
0,e5ET,55.962674184126165,[ 0.48359012 10.34541917  0.52049376],285,w/ recurrent,10
1,i5Pvalb,49.041601575620184,[ 0.33487296 13.47149272  0.64056787],285,w/ recurrent,10
2,i5Sst,60.21909194004952,[0.84386627 8.93463068 0.20991933],285,w/ recurrent,10
0,e5ET,62.425964651963405,[0.60773414 8.31408549 0.43435777],300,w/o recurrent,10
1,i5Pvalb,60.57706446997401,[0.34422072 8.82934654 0.67677741],300,w/o recurrent,10
2,i5Sst,60.26934097225806,[0.67563655 8.91973855 0.27648284],300,w/o recurrent,10
0,e5ET,55.309344798338074,[ 0.49277879 10.59126861  0.52989241],300,w/ recurrent,10
1,i5Pvalb,61.500259173374964,[0.36307239 8.56625737 0.68011305],300,w/ recurrent,10
2,i5Sst,58.16716150672539,[0.73193084 9.57611312 0.19822571],300,w/ recurrent,10
0,e5ET,62.890806674625246,[0.59346636 8.19163664 0.42353318],315,w/o recurrent,10
1,i5Pvalb,61.14792966194664,[0.34644329 8.66525795 0.69333909],315,w/o recurrent,10
2,i5Sst,56.57731868720948,[ 0.72837084 10.12185909  0.29661803],315,w/o recurrent,10
0,e5ET,53.266712413382805,[ 0.46995937 11.41913543  0.52867361],315,w/ recurrent,10
1,i5Pvalb,58.17617354268726,[0.38549537 9.57314649 0.71048559],315,w/ recurrent,10
2,i5Sst,54.97263081176335,[ 0.85057342 10.72141156  0.23002579],315,w/ recurrent,10
0,e5ET,62.06145639417776,[0.57308226 8.41203526 0.41059782],330,w/o recurrent,10
1,i5Pvalb,59.47129422807957,[0.32287716 9.16073311 0.65161935],330,w/o recurrent,10
2,i5Sst,56.079242854215224,[ 0.63977614 10.30245503  0.26185581],330,w/o recurrent,10
0,e5ET,51.93037174273631,[ 0.48046462 12.01440167  0.53148224],330,w/ recurrent,10
1,i5Pvalb,61.91592229551095,[0.29763895 8.45162691 0.56286207],330,w/ recurrent,10
2,i5Sst,52.242150667586216,[ 0.69521098 11.8714267   0.20530317],330,w/ recurrent,10
0,e5ET,62.166400005080135,[0.58213809 8.38365838 0.41689511],345,w/o recurrent,10
1,i5Pvalb,59.64537413873673,[0.33627801 9.10733844 0.65965708],345,w/o recurrent,10
2,i5Sst,53.11835717187695,[ 0.70049225 11.48300993  0.28744768],345,w/o recurrent,10
0,e5ET,50.52667428016587,[ 0.4334778  12.69122616  0.50665781],345,w/ recurrent,10
1,i5Pvalb,56.92935080321457,[0.39956882 9.99706573 0.67422804],345,w/ recurrent,10
2,i5Sst,50.06323783601451,[ 0.72248288 12.92727959  0.21276938],345,w/ recurrent,10
